QUEST_20150317_000001	$Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150317_000087	{memo X}Isso mesmo. A mais estranha de todas foi a Deusa Laima. {nl}Ninguém sabe ao certo quando ela desapareceu.
QUEST_20150317_000088	{memo X}Além disso, Laima não é a Deusa do Destino e Sabedoria? {nl}Ela provavelmente estava ciente de tudo isso.
QUEST_20150317_000089	$Soldado em Descanso
QUEST_20150317_000090	$Já fui um aventureiro, como você. Então levei uma flecha no joelho...
QUEST_20150317_000091	$Não importa. Venham me enfrentar, seus monstros!
QUEST_20150317_000092	$Uma deusa apareceu no meu sonho agora mesmo... {nl}Foi tão encantador...
QUEST_20150317_000093	$Mesmo assim, temos o dever de defender o reino. Por isso, estou aqui.
QUEST_20150317_000094	$Uska é um amigo de velha data.
QUEST_20150317_000095	$Prestamos o exame para nos tornar cavaleiros juntos. Uska chegou até onde está com meu sincero apoio. {nl}Ah, aqueles foram dias loucos... Seria bom vê-lo de novo.
QUEST_20150317_000096	{memo X}Só não acredite em tudo que ele diz. {nl}Ele era famoso por ser bastante exibido no lugar de onde viemos.
QUEST_20150317_000097	$Eu? Eu acho engraçado, mas não o incomodo.
QUEST_20150317_000098	$Er, espere. Eu retiro o que disse sobre não acreditar em tudo que ele diz.
QUEST_20150317_000099	$Tudo que sai da boca dele é mentira. Não confie nele.
QUEST_20150317_000100	$Guarda de Siauliai
QUEST_20150317_000101	{memo X}Há monstros daqui em diante. Tenha cuidado.
QUEST_20150317_000102	$Essa floresta não é exatamente pacífica, mas é melhor que outros lugares. {nl}Há florestas com nada além de almas perambulando por elas.
QUEST_20150317_000103	$É disso que as pessoas que viram deusas em seus sonhos estão sendo chamadas.
QUEST_20150317_000104	$Achei que as visões dos Reveladores eram loucura, a princípio. {nl}As deusas se foram faz muito tempo, afinal de contas.
QUEST_20150317_000105	$Não é verdade que as deusas não respondem às nossas preces desde Medzio Diena, quatro anos atrás?
QUEST_20150317_000106	$Você pode encontrar Mestres de Classe por todo o reino. {nl}Que tal visitá-los e aprender o que for possível?
QUEST_20150317_000107	$Você não sabe sobre Medzio Diena? Você deve ter vindo de muito longe mesmo. {nl}Quatro anos atrás, as coisas saíram de controle na capital.
QUEST_20150317_000108	${memo X}Foi um desastre... Muitas pessoas acabaram feridas ou mortas. {nl}Criaturas que outrora foram gentis ficaram violentas, e muitos novos monstros surgiram.
QUEST_20150317_000109	$Se quiser entender o que aconteceu durante Medzio Diena há quatro anos, vá para Klaipeda. {nl}Muitos dos sobreviventes se refugiaram lá.
QUEST_20150317_000110	$Sentinela da Floresta Oriental
QUEST_20150317_000111	$Você está indo para a Floresta Oriental? {nl}Não faça isso! É perigoso demais!
QUEST_20150317_000112	$Droga, essas coisas teimosas nos perseguiram até aqui!
QUEST_20150317_000113	{memo X}Aqueles gritos... Estamos sendo atacados!
QUEST_20150317_000114	$Instruções de Segurança
QUEST_20150317_000115	$1. Apenas pessoas autorizadas podem entrar. {nl}2. Sempre siga as instruções do supervisor de mineração.
QUEST_20150317_000116	$3. Não se aproxime das áreas fechadas. {nl}4. Quaisquer indivíduos suspeitos devem ser relatados aos Cavaleiros de Klaipeda.
QUEST_20150317_000117	$Soldado da Base de Suprimentos
QUEST_20150317_000118	$Nunca participei de uma luta de verdade antes, estou um pouco nervoso.
QUEST_20150317_000119	$Sentinela da Fazenda
QUEST_20150317_000120	$Meu colega está no meio de uma batalha na Vila dos Mineradores. {nl}Pensei em ir ajudar, mas a Floresta Oriental está em apuros também, então a única coisa que posso fazer é ficar preocupado.
QUEST_20150317_000121	$Acho que essa missão me submeteu a monstros suficientes para uma vida inteira. {nl}Costumava ser só grupos de Vubbes.
QUEST_20150317_000122	{memo X}Chupacabras gostam de regatos e da vegetação da área norte.
QUEST_20150317_000123	$Capitão da Guarda de Klaipeda
QUEST_20150317_000124	$Você é...
QUEST_20150317_000125	{memo X}Parece que você pode ver a floresta superior daqui. {nl}Tente não entrar em encrenca.
QUEST_20150317_000126	$Você não tem o item de quest necessário. Tem certeza de que deseja continuar?
QUEST_20150317_000127	$Garota de Klaipeda
QUEST_20150317_000128	$Meu vizinho foi um caçador de monstros. {nl}Mas ele se aposentou. As coisas ficaram absurdamente perigosas.
QUEST_20150317_000129	{memo X}Seria bom se todos esses Reveladores aqui fizessem as deusas voltarem.
QUEST_20150317_000130	$Pode ser ingenuidade desejar o retorno das deusas, mas é melhor que nada.
QUEST_20150317_000131	$Senhora de Klaipeda
QUEST_20150317_000132	$Ainda é possível cultivar a terra, e temos uma lareira quente nos esperando em nossos lares. {nl}Sempre acreditarei que a deusa está em algum lugar deste mundo.
QUEST_20150317_000133	$Não perca a sua fé. {nl}A deusa ainda pode nos enviar um Salvador.
QUEST_20150317_000134	$Mestre Hoplita
QUEST_20150317_000135	$Se a espada é um símbolo de poder, então a lança é o da pura destruição. {nl}Poder ou destruição - qual você empregaria no campo de batalha?
QUEST_20150317_000136	$Operador de Máquina
QUEST_20150317_000137	$Mesmo com o mundo tão caótico quanto está, não podemos parar de trabalhar. {nl}Já faz quatro anos. Não é hora de aceitar o passado e começar de novo?
QUEST_20150317_000138	$Klaipeda é uma cidade que vive da mineração. {nl}Com Medzio Diena, devíamos trabalhar plantando ou cortando árvores.
QUEST_20150317_000139	$Meu velho tinha essa mania de procurar coisas legais por aí. {nl}Às vezes, ele tinha sorte e encontrava um belo baú do tesouro. Quem será que o deixava lá?
QUEST_20150317_000140	$Caçador Aposentado
QUEST_20150317_000141	$Eu me lembro dessa batalha em um cânion profundo, onde soldados enfrentaram um monstro enorme. {nl}Ver aquele gigante caindo foi inacreditável, mas ainda mais incríveis foram os espólios.
QUEST_20150317_000142	$Oleiro Idoso
QUEST_20150317_000143	$Coloquei uma prece em cada uma das minhas peças de cerâmica, uma a uma. {nl}Dessa forma, os vasos um dia serão preenchidos pelas bênçãos da deusa.
QUEST_20150317_000144	{memo X}Espadachins deveriam ter Força, mas você também pode ter Destreza e Constituição. {nl}Você terá de pensar sobre como quer começar.
QUEST_20150317_000145	$Magos trabalham com Inteligência, mas não devem se esquecer de Espírito para conjurar mais feitiços. {nl}Você terá de escolher entre equilíbrio e especialização.
QUEST_20150317_000146	{memo X}Arqueiros deveriam ter Força, mas Destreza evita problemas com movimento. {nl}Você terá de pensar sobre como quer começar.
QUEST_20150317_000147	{memo X}Clérigos trabalham com Inteligência, mas podem precisar de muita Força ou Espírito. {nl}É bom você decidir por onde quer começar.
QUEST_20150317_000148	$Mestre Doppelsöldner
QUEST_20150317_000149	$Tudo que é valioso sempre carrega certo risco. {nl}Naturalmente, para obter grandes recompensas, você terá de enfrentar grande perigo.
QUEST_20150317_000150	$Mestre Corsário
QUEST_20150317_000151	{memo X}Não ajudarei ninguém em apuros se não receber algo em troca.
QUEST_20150317_000152	$Rochedo
QUEST_20150317_000153	$Um enorme rochedo bloqueia o caminho.
QUEST_20150317_000154	$Precisa ser consertado.
QUEST_20150317_000155	{memo X}Um rochedo bloqueia o caminho.
QUEST_20150317_000156	$Material de Pesquisa de Magia
QUEST_20150317_000157	$Parecem ser as notas de pesquisa de alguém da Torre da Maga. {nl}Deveriam ser copiadas?
QUEST_20150317_000158	{memo X}Se esconder e espreitar não resolverá todos os seus problemas. {nl}Um Batedor de verdade também deve estar pronto para lutar.
QUEST_20150317_000159	{memo X}Você vai precisar de muitas coisas em suas viagens. {nl}Certifique-se de estocar provisões de antemão.
QUEST_20150317_000160	$Se a magia de controle for dissipada, as mensagens divinas não serão protegidas.
QUEST_20150317_000161	$Cenotáfio do Ladrão Esquecido
QUEST_20150317_000162	$Eu, Zubeck, deixo este epitáfio. {nl}Pela honra de ser o maior ladrão da história, desafiei uma feiticeira poderosa.
QUEST_20150317_000163	$Mas poderia eu, um mero ladrão, clamar vitória simplesmente roubando dela? {nl}Talvez, se eu pudesse roubar a maior arquimaga até o último centavo.
QUEST_20150317_000164	$Entretanto, não foi possível. {nl}Eu queria ser o maior ladrão da história, não apenas de hoje.
QUEST_20150317_000165	$Eu finalmente descobri uma maneira de entrar na Torre da Maga. {nl}Para fazer isso, a pessoa precisa concentrar poder mágico em um lugar específico. {nl}Agora, eu só preciso dar mais um passo decisivo.
QUEST_20150317_000166	$Depois disso, meu dispositivo especial será ativado. {nl}Se você fizer como eu fiz, também será capaz de entrar na torre.
QUEST_20150317_000167	$Depois disso, você também poderá mostrar àqueles magos burros um truque ou outro. Haha!
QUEST_20150317_000168	$Monumento Imponente
QUEST_20150317_000169	{memo X}Os ladrões que entraram nessa torre foram queimados vivos. {nl}Deixo este monumento como um aviso aos outros invasores. {nl}- Agailla Flurry
QUEST_20150317_000170	$Rainha Demônio Gesti
QUEST_20150317_000171	$Humanos insolentes.
QUEST_20150317_000172	$Esperem só. Esse não é o fim. {nl}Rezem do fundo do coração para que Laima salve esse mundo.
QUEST_20150317_000173	$Oficial de Klaipeda
QUEST_20150317_000174	{memo X}Sejam bem-vindos. {nl}Sir Uska aguarda na praça central de Klaipeda. {nl}Ah, você precisava de outra coisa antes?
QUEST_20150317_000175	$Você quer seguir para o portão de Klaipeda imediatamente?
QUEST_20150317_000176	$Operador Temporário
QUEST_20150317_000177	$Por favor, altere o estado desse personagem.
QUEST_20150317_000178	$Configuração de ESCONDER/DESESCONDER NPC!
QUEST_20150317_000179	$Seguidor Algis
QUEST_20150317_000180	$O momento que a deusa profetizou ao primeiro Paladino finalmente chegou. {nl}Venha. Pergunte-me o que quiser.
QUEST_20150317_000181	$Há muito, muito tempo, havia um grupo de nômades que foi acometido por uma praga amaldiçoada. {nl}O honrado primeiro Paladino removeu a maldição com uma Relíquia Sagrada.
QUEST_20150317_000182	$Os Vigias são os descendentes daqueles nômades. {nl}Entretanto, a Relíquia Sagrada não foi feita para curar aquelas pessoas.
QUEST_20150317_000183	$Um dia, a deusa pediu ao primeiro Paladino que protegesse uma revelação divina. {nl}Os nômades amaldiçoados apareceram no momento em que o paladino se questionava sobre como manter o segredo.
QUEST_20150317_000184	$Eles e o primeiro Paladino fizeram três juramentos antes de quebrar a maldição.
QUEST_20150317_000185	$Construir a Igreja da Doutrina juntos. {nl}Esconder a Relíquia Sagrada nesse local e adorar sua santidade. {nl}Se reunir e lutar juntos quando o perigo se aproximasse desse local.
QUEST_20150317_000186	$Tudo isso com o intuito de proteger a revelação oculta no sacrário da Igreja da Doutrina.
QUEST_20150317_000187	$A Relíquia Sagrada foi criada originalmente para proteger a revelação como uma isca. {nl}Com ela, atrairemos a Rainha Demônio aqui e a destruiremos.
QUEST_20150317_000188	$Tudo pode acontecer, entretanto. {nl}Se o plano falhar, a batalha final provavelmente ocorrerá na Igreja da Doutrina.
QUEST_20150317_000189	$Pawndel
QUEST_20150317_000190	$Que foi?
QUEST_20150317_000191	$Sério?
QUEST_20150317_000192	$Pawnd
QUEST_20150317_000193	$O que aconteceu?
QUEST_20150317_000194	$Gesti nos instruiu a proteger esse lugar.
QUEST_20150317_000195	$Então, o que faço agora?
QUEST_20150317_000196	$Esse é o lugar certo?
QUEST_20150317_000197	$Explicando
QUEST_20150317_000198	{memo X}Compartilhou os detalhes do fragmento de revelação encontrado na Mina de Cristal.
QUEST_20150317_000199	{memo X}Não sei quão incrível você foi no passado, nem ligo para isso. {nl}Aqui, todos seguem as ordens do Exército Real, até vocês, Cavaleiros de Kaliss. {nl}Aqui, nossa palavra é lei!
QUEST_20150317_000200	$Ladrão de Túmulos Hubertas
QUEST_20150317_000201	$Ficar aqui nessas ruínas está me deixando louco. {nl}Por que diabos ele veio aqui, afinal de contas?
QUEST_20150317_000202	$Ladrão de Túmulos Benjaminas
QUEST_20150317_000203	{memo X}As pessoas nos chamam de ladrões de túmulos, mas preferimos o termo... arqueólogos, {nl}caçando e empregando todos aqueles itens que ninguém mais usa. {nl}Melhor que deixá-los apodrecendo, não é?
QUEST_20150317_000204	$O Diário de um Cidadão
QUEST_20150317_000205	{memo X}Já faz um ano desde que a guerra civil começou. Os preços subiram drasticamente aqui na cidade. {nl}Comandante Ruklys pediu ajuda para restaurar os suprimentos decrescentes da cidade. {nl}Já faz um tempo desde a última vez que recebemos boas notícias. Há rumores sobre o Rei Kadumel tentar ir atrás do general. {nl}Essa conversa não deve mudar tão cedo.
QUEST_20150317_000206	$Relatório de um Sentinela
QUEST_20150317_000207	{memo X}As guaritas foram reforçadas em resposta aos movimentos das forças do Rei Kadumel nesse país. {nl}Foi confirmado que o rei comanda um enorme exército. {nl}Mas se o General Hayatin conseguir reunir soldados voluntários suficientes, o rei incompetente provavelmente se renderá ou baterá em retirada.
QUEST_20150317_000208	$O Registro de um Comerciante
QUEST_20150317_000209	{memo X}A cidade está ficando sem comida e suprimentos. {nl}(O resto está ilegível.)
QUEST_20150317_000210	{memo X}O rumor sugere que Ruklys está ciente das condições terríveis dos cidadãos {nl}e está negociando a anistia deles com Kadumel.
QUEST_20150317_000211	$O Registro de um Oficial
QUEST_20150317_000212	{memo X}O Premiê Eminente está negociando com o Comandante Ruklys. {nl}Talvez sejamos obrigados a mover a Fortaleza da Terra e deixar as forças reais tomarem a cidade. {nl}São boas notícias para nossos civis, pelo menos. Apesar de abrir mão da cidade, a Fortaleza não será tomada tão facilmente.
QUEST_20150317_000213	{memo X}Rei Kadumel está decidido a perseguir o povo da cidade. {nl}O premiê está pressionando o Comandante Ruklys a negociar termos que garantem a segurança dos civis perante as forças inimigas. {nl}Apesar da ocupação da cidade pelas forças reais, ainda não houve nenhum movimento ameaçador.
QUEST_20150317_000214	{memo X}Devíamos esperar até Kostas chegar aqui. {nl}Temos muito a fazer, então seria bom se ele chegasse aqui logo.
QUEST_20150317_000215	$Criomante Kostas
QUEST_20150317_000216	{memo X}Tudo será resolvido quando a Marca de Seda for encontrada. {nl}Com ela, podemos reviver a cidade.
QUEST_20150317_000217	$Ladrão de Túmulos Rudolpas
QUEST_20150317_000218	{memo X}O Exército Real e os Cavaleiros de Kaliss... Acho que demos sorte. {nl}Não há mais ninguém por aqui, ou pessoas chamando esse lugar de lar.
QUEST_20150317_000219	$O Registro de um Oficial Real
QUEST_20150317_000220	{memo X}Não houve progresso desde que o grupo de Ruklys bateu em retirada da Fortaleza da Terra. {nl}Os sacerdotes sob controle de Maven estão relutantes em lutar, e o Rei está contratando magos com pagamentos generosos. {nl}Mas esperamos pouco ou nenhum progresso, mesmo depois da participação deles.
QUEST_20150317_000221	$Documento do Habitante
QUEST_20150317_000222	{memo X}Como isso pôde acontecer?! {nl}Lydia Schaffen está ajudando as forças de Kadumel!
QUEST_20150317_000223	$Relatório do Oficial do Exército
QUEST_20150317_000224	{memo X}Lydia Schaffen, uma pessoa de quem só ouvi falar em rumores, veio à cidade com seus seguidores. {nl}Os oficiais e soldados acreditam que ela mudará o rumo da batalha. {nl}Sua majestade nos ordenou a dar todo suporte possível a ela.
QUEST_20150317_000225	$Registro do Cidadão
QUEST_20150317_000226	$A Fortaleza da Terra caiu! Está tudo acabado...
QUEST_20150317_000227	{memo X}Comandante Ruklys foi perdido em batalha, e a Fortaleza da Terra foi tomada. {nl}Alguns dizem que o comandante foi morto pela flecha de Lydia Schaffen, outros dizem que ele morreu com a magia dos magos reais. {nl}É, de fato, uma má notícia.
QUEST_20150317_000228	{memo X}Para dar apoio aos Cavaleiros de Kaliss, fui enviado para cá do escritório central. {nl}Se tiver quaisquer preocupações, visite o quartel-general na Praça da Lamentação.
QUEST_20150317_000229	{memo X}Os chefões dos Cavaleiros de Kaliss estão gastando muito nesse lugar. Não sei bem o que sinto em relação a isso. {nl}Para piorar tudo, ladrões de túmulos estão por aqui, então estamos apenas esperando suporte.
QUEST_20150317_000230	{memo X}Até agora, só vi as figuras amaldiçoadas dos caídos. Agora que estou aqui, isso vai mudar.
QUEST_20150317_000231	{memo X}Será que quebrar a maldição da cidade trará os mortos de volta? {nl}Duvido, mas nossos senhores se esforçaram muitos para retomar essa área. {nl}Eles fizeram tudo que podiam com esse propósito.
QUEST_20150317_000232	$Ladrão de Túmulos Stephonas
QUEST_20150317_000233	{memo X}Somos diferentes daqueles outros arruaceiros ladrões de túmulos. {nl}Eles não têm orgulho nem tino para os negócios! {nl}Se você nos ajudar agora, retribuiremos o favor algum dia, em breve.
QUEST_20150317_000234	$Guarda do Exército Real Rofdel
QUEST_20150317_000235	{memo X}Você consegue ver todo tipo de coisa acontecendo dessa torre de vigia, como se o tempo tivesse parado nessa cidade. {nl}A poeira costuma entrar no caminho, mas dá para ver até os caminhos de Ruklys quando chove.
QUEST_20150317_000236	{memo X}Trabalhamos por séculos para reviver essas ruínas. {nl}Com a sua ajuda, podemos ser capazes de aprender sobre aquele dia, e finalmente sermos bem-sucedidos.
QUEST_20150317_000237	$Bokor Edita
QUEST_20150317_000238	{memo X}Certamente há uma maldição aqui. Tenho certeza disso.
QUEST_20150317_000239	$Alquimista Saliamonas
QUEST_20150317_000240	{memo X}Esse lugar é verdadeiramente intrigante. Essa cidade está pulsando com coisas a serem estudadas e experimentadas.
QUEST_20150317_000241	$Ladra de Túmulos Amanda
QUEST_20150317_000242	$Nossa família é diferente daqueles animais assaltantes de túmulos. {nl}Podemos distorcer algumas regras para sobreviver, mas mesmo assim...
QUEST_20150317_000243	{memo X}Os soldados estão realmente mortos? {nl}Nunca vi uma pedra da geada tão estranha quanto essa. {nl}É como se todos na cidade estivessem tentando esconder algo revivendo aquele dia.
QUEST_20150317_000244	$Movimento de Alta Velocidade
QUEST_20150317_000245	$Carta Rasgada
QUEST_20150317_000246	$Ao meu estimado irmão em Fedimian...
QUEST_20150317_000247	$Gesti sentiu isso. Fique calmo. Ainda não chegou a hora.
QUEST_20150317_000248	$Membro da Tropa de Suprimento Fora de Serviço
QUEST_20150317_000249	$Não faço ideia do que o lar real está fazendo. {nl}Eu até ouvi dizer que os nobres já fugiram da cidade.
QUEST_20150317_000250	$Em tempos assim, é bom confeccionar e usar suas próprias coisas, em vez de comprá-las. {nl}Eu era originalmente um membro da tropa de suprimento, mas esse trabalho não é muito diferente do de um ferreiro.
QUEST_20150317_000251	$Seguidora Norma
QUEST_20150317_000252	$Não sabia que foi você quem aceitou nosso pedido, Revelador. {nl}É uma verdadeira honra.
QUEST_20150317_000253	$Os demônios de Gesti continuam atacando sem dó. {nl}Sua influência temível atingiu os Pantos que vivem aqui.
QUEST_20150317_000254	$Os Pantos já foram dóceis, mas agora perseguem e atacam à primeira vista.
QUEST_20150317_000255	$Há uma árvore aqui que os Pantos adoram. {nl}Se isso estiver acontecendo, aquela árvore quase certamente deve ter sido corrompida por um poder terrível.
QUEST_20150317_000256	$Por favor, proteja a barreira Romuvan no topo do vale. {nl}Cuidaremos do resto quando nossos irmãos chegarem aqui.
QUEST_20150317_000257	{memo X}Que a deusa abençoe você.
QUEST_20150317_000258	{memo X}Quero participar da ação. {nl}Faz tempo que não participo de uma briga.
QUEST_20150317_000259	$Ainda estamos nos preparando. {nl}Por favor, espere mais um pouco.
QUEST_20150317_000260	$Antares
QUEST_20150317_000261	$O quê? Você ainda tenta perturbar meus experimentos? {nl}Não permitirei isso!
QUEST_20150317_000262	{memo X}Tenha cuidado! Tenho certeza de que isso é obra de Antares. Vai explodir, se você chegar perto demais. {nl}Melhor atrair os monstros e removê-los um de cada vez.
QUEST_20150317_000263	$Quando eu liberar essa válvula, meu grande experimento estará completo e você vislumbrará algo espetacular!
QUEST_20150317_000264	{memo X}Não me interrompa enquanto estabilizo as Joias da Proeminência.
